,Replication_ID,Ratio,Best_K,MAE,RMSE,R2
3800,422,0.4,11,36159.150521026524,69103.15016064624,0.8151943153364539
3801,422,0.6,6,34563.91901060856,66637.2923539554,0.8281481074996515
3802,422,0.8,4,34549.343879967375,68687.32539189015,0.8174117416063295
3803,422,0.85,6,35124.64929975075,70674.71914299756,0.8066928948087095
3804,422,0.9,5,36004.80420676275,72694.88544921145,0.7954839728492737
3805,422,0.95,5,38103.012350998804,77416.17238548018,0.7680560628601624
3806,422,1.0,6,45760.9248095849,92831.20484132256,0.666490961065781
3807,423,0.0,10,52796.549500867826,83121.64296647314,0.7111127705519154
3808,423,0.2,10,39541.17167602039,68539.65337539732,0.8035808109248169
3809,423,0.4,10,35906.45525969743,65791.58155556329,0.8190157596887223
3810,423,0.6,6,34740.22666789292,64709.89462897178,0.8249180030354624
3811,423,0.8,7,34294.839716858536,65149.88256551553,0.8225290064506396
3812,423,0.85,5,34538.63236510899,64967.72602349599,0.8235200231033675
3813,423,0.9,6,35522.76153937824,68433.21164352099,0.8041904131986446
3814,423,0.95,5,38120.87847784899,75071.30747148575,0.7643605145294491
3815,423,1.0,6,44585.22566764844,87542.20304083092,0.6795686131177714
3816,424,0.0,14,53407.932213309214,83214.88766757406,0.6853132191135234
3817,424,0.2,7,39338.541374463806,65786.36621883092,0.8033254188493609
3818,424,0.4,6,35057.396656464996,60201.29480128313,0.8353020849048597
3819,424,0.6,6,33317.69904869272,58065.7226324116,0.846779770768002
3820,424,0.8,4,31958.419659127132,55393.813857696994,0.8605562762235212
3821,424,0.85,5,32605.60688389638,57355.9106985454,0.8505028900438654
3822,424,0.9,5,33892.808529139395,60160.92286307581,0.8355229088772517
3823,424,0.95,5,36265.855629788064,64253.05824459679,0.8123865177413843
3824,424,1.0,7,44195.3121237526,80138.04782545954,0.7081538592391585
3825,425,0.0,19,52633.54092665126,81016.04382334377,0.6848347749411905
3826,425,0.2,9,38978.27392742856,64192.22817439727,0.8021385763333831
3827,425,0.4,10,35216.58974786183,59578.794008259414,0.8295568137945526
3828,425,0.6,5,33602.38390407212,57077.555707801504,0.843567508867244
3829,425,0.8,5,32741.72586782911,56440.161011533026,0.8470418169025897
3830,425,0.85,5,33058.374740087835,57544.553400993806,0.8409972352469495
3831,425,0.9,5,33972.75751755648,58750.50530201254,0.8342630125079955
3832,425,0.95,6,36281.55639526608,63444.7886829056,0.8067194563185729
3833,425,1.0,6,42642.20434409598,75688.79305943096,0.7249197640744497
3834,426,0.0,11,53668.96397573522,85700.32167167688,0.6772531869664047
3835,426,0.2,11,39854.754181923025,68813.14899771202,0.7919154081083271
3836,426,0.4,13,35448.10400409846,62424.684454818074,0.8287582056349156
3837,426,0.6,8,33666.45821421005,59735.81942845345,0.8431925438199448
3838,426,0.8,5,33889.629287873555,60314.30407630398,0.8401407758711169
3839,426,0.85,4,33859.71963923396,59213.639257628914,0.8459220237447214
3840,426,0.9,3,34695.096181222725,60584.23472871511,0.8387067059896705
3841,426,0.95,4,37100.48759298894,67022.32819458957,0.8026050314313571
3842,426,1.0,7,44672.8750359944,80641.77820623617,0.7142295953009403
3843,427,0.0,10,54090.217947517376,93175.89099240562,0.6780798375940857
3844,427,0.2,10,40757.7885022781,78169.1907674226,0.7734248368267624
3845,427,0.4,12,37373.41859891359,72712.04203066797,0.803955910982072
3846,427,0.6,8,36147.1321934033,72814.34754980086,0.8034038565666907
3847,427,0.8,5,35305.43872984873,74024.97187493998,0.7968122264656163
3848,427,0.85,6,35366.67986341957,73962.90444043229,0.7971528157671655
3849,427,0.9,5,36278.73370773034,73691.94156536793,0.798636353395311
3850,427,0.95,3,37829.52388108643,74773.8350072805,0.7926803914819682
3851,427,1.0,7,44664.138324665786,87405.35111288553,0.7167192178482853
3852,428,0.0,19,52525.533719925115,82402.65197666598,0.7189196041395841
3853,428,0.2,12,38726.416126239616,66295.15007187678,0.8180669103778658
3854,428,0.4,15,35905.42461711511,64979.64091543511,0.8252155497626752
3855,428,0.6,8,34190.36842280413,62328.211313259206,0.8391883506628053
3856,428,0.8,7,34128.45535135234,63671.31337610155,0.8321830609357641
3857,428,0.85,5,34709.396255186686,65048.93400180616,0.8248425771977989
3858,428,0.9,5,36051.57255515426,68901.32906360608,0.8034815286486472
3859,428,0.95,5,38332.33027931364,72225.24658973208,0.7840634068007855
3860,428,1.0,7,45705.04574104978,89692.17793029436,0.6669899669118599
3861,429,0.0,15,53675.959154981516,89440.71362014112,0.6840562175653446
3862,429,0.2,9,39949.83314114288,72542.37991769185,0.7921629828533256
3863,429,0.4,10,36367.2170183749,70630.52989754119,0.80297368677724
3864,429,0.6,7,34556.474913013,69701.0285646983,0.8081253168177496
3865,429,0.8,6,34151.58898177447,71303.47608769887,0.7992013878408009
3866,429,0.85,3,34664.167132853945,69522.58847272967,0.8091064877032493
3867,429,0.9,5,35677.52044882052,74031.7599964416,0.7835410984280723
3868,429,0.95,5,37782.94977480838,76868.41464213392,0.7666353069017314
3869,429,1.0,6,44225.73175143652,88639.08369463656,0.6896942539719393
3870,430,0.0,19,53519.668955662855,87141.6830582427,0.6752175429946141
3871,430,0.2,7,40326.377676655495,71658.35559866406,0.7803787539108028
3872,430,0.4,10,35966.20863377618,67388.7283202143,0.8057704975935139
3873,430,0.6,6,33916.711252937435,64897.86461011709,0.8198635956042515
3874,430,0.8,6,32828.80287672416,63881.12791075001,0.8254636751841228
3875,430,0.85,4,33476.636975721805,64093.489020942594,0.8243013182762042
3876,430,0.9,4,34306.361498547136,65772.55053317182,0.8149751579164153
3877,430,0.95,5,36736.920578170735,71403.62873305756,0.7819373718549802
3878,430,1.0,8,44380.92368903882,86143.10025708117,0.6826184540535798
3879,431,0.0,15,54651.818738802605,87567.86834398657,0.6860306745844778
3880,431,0.2,6,40014.11097552951,71576.08675280988,0.7902347395583806
3881,431,0.4,9,36327.19122097432,66702.51001616984,0.8178278358517341
3882,431,0.6,7,35016.76319235476,65760.9265918538,0.8229346786205396
3883,431,0.8,5,35151.68862127321,67312.35248662678,0.8144815094849235
3884,431,0.85,5,35572.0598303936,67334.54183226198,0.814359177928883
3885,431,0.9,5,36844.594575689975,70964.86583343132,0.7938020058561075
3886,431,0.95,4,38839.913168031904,75180.74581666163,0.7685746529626472
3887,431,1.0,6,45317.97174554922,84660.82281452503,0.7065307283002029
3888,432,0.0,13,56002.03420603331,95413.29769665716,0.6653711914888809
3889,432,0.2,10,41028.22430312818,78395.0472739109,0.7740966001315545
3890,432,0.4,9,36818.876797554694,72149.31618430161,0.8086581568651141
3891,432,0.6,6,35304.41460594265,70605.92091110113,0.8167568460172437
3892,432,0.8,4,34802.911700407065,69039.62307931232,0.8247966774532598
3893,432,0.85,5,35185.99286459351,69781.18975491555,0.8210126846410274
3894,432,0.9,5,36630.09081663111,72418.7231748877,0.8072265404605474
3895,432,0.95,4,39460.26767262407,80084.61737891263,0.7642543301344609
3896,432,1.0,11,46879.475106272796,91871.59013161843,0.6897527211307015
3897,433,0.0,14,54342.51249244218,90086.31072401241,0.6828407032580693
3898,433,0.2,6,40324.93818494903,74628.38816117772,0.782345341857972
3899,433,0.4,9,36506.95153900792,71465.20867642427,0.8004052218273479
3900,433,0.6,8,34915.27413484426,70116.59866159133,0.807867194857805
3901,433,0.8,4,34605.830780909826,70670.2824282219,0.8048208166409484
3902,433,0.85,5,35028.50674473505,70848.4016307138,0.803835707460952
3903,433,0.9,5,35520.593766057784,72304.49836876967,0.7956895983647583
3904,433,0.95,5,37811.00886958877,76112.27878962661,0.7736037169569152
3905,433,1.0,9,44503.68947353268,87973.42890040383,0.6975435281093059
3906,434,0.0,13,51999.96628018755,80570.78032992785,0.6903990316386648
3907,434,0.2,12,38097.31607104156,63760.53800347274,0.8061119170554021
