,Replication_ID,Ratio,Best_K,MAE,RMSE,R2
170,56,0.75,6,34121.23113162559,62874.03937779946,0.8253555045565971
171,57,0.65,5,34329.760730684364,66324.87418896746,0.7970907367380666
172,57,0.7,8,34258.88984340383,66643.41512229014,0.7951370166859146
173,57,0.75,8,34105.50172996938,66477.33991724282,0.79615678044528
174,58,0.65,9,34777.502971573114,69435.63939115457,0.7940833124443505
175,58,0.7,7,34566.05651978033,69420.7467122217,0.7941716337234859
176,58,0.75,6,34715.30470131282,70590.3722657719,0.787177466044328
177,59,0.65,5,34628.437776104096,70144.97302824202,0.8020878040893216
178,59,0.7,5,34348.34570856116,69996.19118206973,0.8029264818303964
179,59,0.75,5,34043.244900208105,69449.76633060999,0.8059913784065214
180,60,0.65,5,34287.26959756436,60557.52571446878,0.8438032059831108
181,60,0.7,6,34010.39620677427,60088.959668066964,0.8462110112553517
182,60,0.75,6,33852.127545351665,59912.5475134842,0.8471126884300463
183,61,0.65,5,33372.48924911506,60935.94187386287,0.8403346500569219
184,61,0.7,4,33283.79043663061,60979.22806818802,0.8401077311025367
185,61,0.75,4,33235.54604558413,61468.719543634455,0.8375304590543426
186,62,0.65,7,34542.97611401748,64933.24338993266,0.8373761736087098
187,62,0.7,7,34595.004816829925,65792.8148576761,0.833042121382378
188,62,0.75,6,34766.33311566803,66532.23570115145,0.8292682791507018
189,63,0.65,7,34577.448074556014,65697.33223679005,0.8278060025748781
190,63,0.7,5,34600.23633379377,66135.16174519785,0.8255032353718406
191,63,0.75,6,34801.93696730242,66182.97608337908,0.8252508291430167
192,64,0.65,8,34759.874021956915,70267.93887706546,0.7826607126796885
193,64,0.7,6,34515.99705096294,69540.83720110099,0.7871353041293233
194,64,0.75,6,34455.01198089925,69749.14432971209,0.7858581367362182
195,65,0.65,7,32821.91920977441,64984.35194366758,0.8135965081822992
196,65,0.7,7,33050.150693981275,66629.40727764039,0.8040395812963786
197,65,0.75,6,33289.52382784212,67081.65825789822,0.8013703677176188
198,66,0.65,6,32257.14450076402,56588.932615884994,0.867687722123526
199,66,0.7,6,32037.200693130224,56153.566284452405,0.8697157767025033
200,66,0.75,6,32101.856446428425,57583.2352313237,0.8629972563554952
201,67,0.65,6,33589.10497716919,64501.84417753864,0.8272281510188682
202,67,0.7,6,33246.339662873,63695.03101008457,0.8315233089202435
203,67,0.75,6,33156.919670795745,64178.9136803452,0.8289537957459302
204,68,0.65,6,34813.69550893255,69174.64660728887,0.8155246488550718
205,68,0.7,5,34653.212383291524,68368.48272033887,0.8197993591582706
206,68,0.75,6,34337.639075213265,67637.57253457894,0.8236317227531874
207,69,0.65,5,34524.024559111065,71012.0158586836,0.8020358694662707
208,69,0.7,5,34371.62728771282,71058.82631093134,0.8017747912626022
209,69,0.75,5,34234.799003720465,70807.249092368,0.8031759027372873
210,70,0.65,6,34062.17594500564,63955.70987992575,0.807377590127391
211,70,0.7,5,33782.77717022306,64272.446083985335,0.805464967590929
212,70,0.75,7,34410.92369030112,65730.49786129918,0.7965386096424054
213,71,0.65,8,35473.894648009125,72156.31123777959,0.8058011690545835
214,71,0.7,7,34928.54532568321,70563.20817348755,0.8142817423580586
215,71,0.75,7,34716.77564085822,70776.15726235365,0.8131591117259694
216,72,0.65,5,33922.979225462084,67184.06305010915,0.8180694597847632
217,72,0.7,6,33918.79666986021,67081.86032474505,0.8186225568565744
218,72,0.75,6,34001.47446085784,67368.29190275609,0.8170703297142793
219,73,0.65,5,33051.88573239307,58648.88856672687,0.8622834030833626
220,73,0.7,5,32832.331813258636,58392.42417616263,0.8634852052062301
221,73,0.75,6,32870.33536240736,59638.37857896922,0.8575972537654774
222,74,0.65,7,34965.35281022703,67622.49719294754,0.8163120167536029
223,74,0.7,7,34418.64874623923,66173.82429094923,0.824097988918826
224,74,0.75,7,34347.95749080886,66863.43695563055,0.8204126548557131
225,75,0.65,6,33847.779630128345,66836.65849736212,0.8116290419361074
226,75,0.7,6,33712.707847304155,66866.33532855823,0.8114617237504508
227,75,0.75,6,33886.64152646123,67325.8529519879,0.8088614809930541
228,76,0.65,8,33605.23794527236,65806.93953768726,0.8000763770303321
229,76,0.7,10,33762.19331325766,65816.31225454024,0.800019423737389
230,76,0.75,8,33733.61356591956,66396.3855103622,0.7964788247903603
231,77,0.65,6,35412.6997882562,70774.18212032992,0.8114636602913124
232,77,0.7,6,35433.27227023236,71581.9305190689,0.8071355573803126
233,77,0.75,5,35900.25533874806,72273.6259647966,0.8033902547953288
234,78,0.65,5,32742.582999583217,65154.91906661278,0.8191432312177807
235,78,0.7,7,32506.950905833513,64783.35456766756,0.8212001239953218
236,78,0.75,7,32655.21574903578,64827.80540193465,0.8209546742070286
237,79,0.65,5,34565.494402827935,68103.76251949395,0.8186709437965549
238,79,0.7,6,34346.18102135077,68482.68436542059,0.8166475405567832
239,79,0.75,6,34604.93436244956,68660.14092306637,0.8156960809971466
240,80,0.65,6,33170.42136741576,67633.71857416398,0.8128107672628709
241,80,0.7,6,32834.86216964892,67622.85729772193,0.8128708837490864
242,80,0.75,5,32687.89177316235,68078.23735175336,0.8103421000266673
243,81,0.65,7,35370.15601673249,67332.4939558419,0.8288091667042914
244,81,0.7,5,35437.52817428452,67777.16901548463,0.8265405543803372
245,81,0.75,6,35514.62732155953,68174.2139392402,0.8245023187835745
246,82,0.65,9,33333.454694192755,63038.51110881071,0.8226309695056511
247,82,0.7,8,33116.71358991857,63099.120944305054,0.8222897344213519
248,82,0.75,4,33297.54145791504,63341.55670447969,0.8209215350298003
249,83,0.65,6,34473.9381873953,63640.108617711296,0.8187779197154178
250,83,0.7,5,34169.13272176989,62988.071079775895,0.8224723906123652
251,83,0.75,6,34227.253758086095,63275.82190264825,0.8208466732771386
252,84,0.65,7,33424.49953392,63677.824701904006,0.8370569332078832
253,84,0.7,7,33413.25197425427,63600.733621458625,0.8374512259907163
254,84,0.75,8,33754.77194980143,63882.980931531536,0.8360053069767714
255,85,0.65,6,32024.73493188083,57319.50920277075,0.8476688132890197
256,85,0.7,7,31725.46427051103,56797.069439437735,0.8504330094898043
257,85,0.75,7,31622.956488488588,56700.505292857015,0.8509411530045867
258,86,0.65,6,33768.875855547965,62148.32027875455,0.8388135014311442
259,86,0.7,6,33844.165212252185,62984.98072422872,0.8344444011820047
260,86,0.75,7,34057.77412941206,62982.24541365887,0.8344587803606928
261,87,0.65,9,33806.153548208546,55913.02157687587,0.8535676447936473
262,87,0.7,6,33677.28186169224,56624.25804766397,0.8498185920213539
263,87,0.75,9,33715.50803047331,56654.17955335537,0.8496598317556512
264,88,0.65,6,33488.58450593117,62552.78265265655,0.8289362118650135
265,88,0.7,8,33294.92864747897,63146.5371301423,0.8256733052659937
266,88,0.75,9,33461.86123787665,63768.43866281577,0.8222226679427518
267,89,0.65,5,34163.55877730534,65124.38684713079,0.8194283917373971
268,89,0.7,7,34059.07235928752,64379.33498737391,0.8235363963664174
269,89,0.75,6,34323.58754685943,65531.34161116611,0.8171645984704281
270,90,0.65,6,34567.74286677646,68025.68255198529,0.8267607389337003
271,90,0.7,6,34682.71507532267,68357.00526842952,0.8250690871729741
272,90,0.75,5,34695.5078420906,69541.84124903947,0.8189523562787426
273,91,0.65,7,34436.548137208374,65445.76065463095,0.81492976250402
274,91,0.7,7,34500.236958819485,65702.68221043424,0.8134738434674271
275,91,0.75,6,34340.54015911974,65271.26943457569,0.8159153139379471
276,92,0.65,7,34990.5066019317,67700.32477633837,0.8172137095164699
277,92,0.7,6,34813.62171582215,68124.90579635736,0.814913840290808
278,92,0.75,5,34818.39087992258,68510.63777068534,0.8128119432245284
279,93,0.65,7,35378.391113902166,68663.42223408772,0.8097774880039444
280,93,0.7,7,35137.73488238526,68247.94044928483,0.8120725927113006
281,93,0.75,6,35158.76341283421,68372.80863072674,0.8113842900145539
282,94,0.65,7,33292.97194490468,65042.31271037051,0.8244886578242901
283,94,0.7,6,32982.62733474186,64745.74733962649,0.8260855236119606
284,94,0.75,3,32998.03481827742,62487.20345298923,0.8380073109514834
285,95,0.65,7,35140.817591186664,72801.50961340503,0.7813780046118535
286,95,0.7,6,34988.95527236657,72701.84267379904,0.7819761919363194
287,95,0.75,4,34783.792623481626,72608.74995436736,0.7825341814985236
288,96,0.65,8,34027.09288101661,65649.28708206024,0.8278346715796442
289,96,0.7,6,34162.37277683781,66206.19942619838,0.8249012754362361
290,96,0.75,5,33965.04351682737,65455.106569001684,0.8288516425531264
291,97,0.65,4,35278.7618527932,66793.31812450991,0.8027990169926564
292,97,0.7,4,34939.243095386824,66615.45033182374,0.8038478943949499
293,97,0.75,5,34613.555349092814,66818.09199346107,0.8026527048327334
294,98,0.65,8,34522.28972078826,60602.17560551903,0.8350961780963607
295,98,0.7,7,34228.06991092932,59770.25603644185,0.83959255454308
296,98,0.75,6,34055.34396453667,59625.39006503228,0.8403691756027456
297,99,0.65,6,32452.12612233973,62913.28202509928,0.804774833551263
298,99,0.7,4,32341.401264486227,62386.14549256791,0.8080326253105026
299,99,0.75,6,32389.39648367984,62854.603634112435,0.8051388316159735
300,100,0.65,8,34419.331354047514,67512.75870920176,0.8067408835412408
301,100,0.7,8,34489.669540520736,67526.55979205554,0.8066618626940721
302,100,0.75,7,34465.41504208159,67344.15865349694,0.8077049327944809
303,101,0.65,7,33439.97250278647,59994.487883335176,0.8423574189673738
304,101,0.7,6,32984.19105732925,59382.30711924492,0.8455581592065715
305,101,0.75,6,33156.598847688525,59850.284612033516,0.8431143303628754
306,102,0.65,6,32256.847400798822,60229.72887779381,0.832564647157535
307,102,0.7,6,32001.806771366024,59895.2915656382,0.8344189196008613
308,102,0.75,7,31948.981517909342,59918.91374566673,0.8342882863809035
309,103,0.65,5,32753.63603331282,59382.07411160413,0.8517433510929399
310,103,0.7,5,32566.626407286705,59262.33923375342,0.8523406220851563
311,103,0.75,5,32630.363257793786,58601.03260385973,0.8556176881144112
312,104,0.65,7,33260.536833355465,62655.93905798117,0.8320856706518682
313,104,0.7,5,32943.26198871996,62380.40680234404,0.8335592447977338
314,104,0.75,5,32669.001100851856,61741.01865113539,0.8369537354019433
315,105,0.65,7,34167.178439702395,62822.63091447512,0.8338321998193741
316,105,0.7,7,34110.54175853219,62808.23860770685,0.8339083272905271
317,105,0.75,6,34003.90459348284,63219.095321841254,0.8317282606572132
318,106,0.65,9,33283.57153815916,64840.98860231822,0.8203957835925405
319,106,0.7,6,32969.160278980555,64073.046245201236,0.8246248655000274
320,106,0.75,6,32871.55220832242,63785.902312175545,0.8261932337645517
321,107,0.65,6,34484.37164068682,66253.74210804554,0.8071811207141977
322,107,0.7,6,34526.46930498145,66695.72929868504,0.8045999006837732
323,107,0.75,5,34311.274847597844,65937.50497501249,0.8090174234968212
324,108,0.65,7,34635.63418206908,68717.5812918261,0.7985488010850372
325,108,0.7,7,34481.29424020865,67733.5600044462,0.8042769696917258
326,108,0.75,6,34530.69339751402,68343.30168021923,0.8007372873336535
327,109,0.65,7,35195.196471048344,69351.63701601958,0.7927515337243605
328,109,0.7,6,34726.92462679289,68010.26338845854,0.8006910482157356
329,109,0.75,5,34786.06571289227,68383.04349055707,0.7985001425748302
330,110,0.65,5,34492.258997541634,65809.1123085843,0.8198671163796916
331,110,0.7,5,34482.27902526139,65999.65114204025,0.8188225195011214
332,110,0.75,7,34377.86844146487,65608.77770764002,0.8209621599294534
333,111,0.65,6,34434.64647956209,72507.60392095232,0.7875122697353742
334,111,0.7,6,34216.49763006308,72092.0594308155,0.7899408449598475
335,111,0.75,4,34284.579375015455,71179.88081596361,0.7952229590669126
336,112,0.65,7,32852.16396331001,58774.12126036145,0.851114506817324
337,112,0.7,5,32559.789917000577,58081.55484761876,0.8546026261392821
338,112,0.75,5,32374.856933618445,57636.69377687408,0.8568213658145205
339,113,0.65,7,32308.8515213337,58028.457071629186,0.833462747722016
340,113,0.7,5,32237.18929064989,57516.03882194739,0.8363909643288889
341,113,0.75,5,32258.409616224755,57640.174271398355,0.8356839755119974
342,114,0.65,5,31974.641459283786,53790.9378370388,0.8662307149723695
343,114,0.7,5,31783.399245458153,53292.59551628955,0.8686978256710427
344,114,0.75,7,31842.615594656352,54061.10775631961,0.8648836034430004
345,115,0.65,5,34408.93424824515,66010.45767919572,0.8313280152066086
346,115,0.7,5,34156.434582331094,65961.84553484258,0.8315763542721428
347,115,0.75,6,34032.466038530234,66169.06423264052,0.8305164885830766
348,116,0.65,8,34586.60483111766,72673.24245591853,0.7852475577158787
349,116,0.7,5,34566.80493952052,72393.63344953716,0.7868968911057883
350,116,0.75,5,34677.12747752238,73376.04509788449,0.7810738516093981
